,State,ZIP_Code,Population,Male,Female,Median Age,Race,Poverty Count,Poverty Rate,Household Income,Per Capita Income,Unemployment Count,Unemployment Rate,Total housing units,Median year structure built,Median Value ($) for Housing Units,White alone race,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Lat,Lng,City,county
1508,California,95674,891,424,467,34.4,891,67,7.519640852999999,81979,40486.0,20,2.2446689109999998,327,1975,412100,763,0,1,77,9,38.95786629999999,-121.47989479999998,Rio Oso,California
1509,California,95675,574,257,317,46.0,574,0,0.0,49569,15875.0,82,14.28571429,226,1949,150800,449,0,37,0,30,38.547475899999995,-120.7428977,River Pines,California
1514,California,95681,1471,910,561,37.8,1471,372,25.2889191,52292,20257.0,67,4.554724677,493,1973,311200,1322,0,24,43,0,38.9988271,-121.34272620000002,Sheridan,California
1515,California,95682,30033,15141,14892,44.9,30033,3045,10.13884727,77993,36367.0,1284,4.275297173,11645,1985,397900,27632,168,76,489,334,38.6084554,-120.9646866,Shingle Springs,California
1522,California,95689,1131,572,559,65.7,1131,48,4.24403183,61510,36615.0,95,8.399646331,860,1981,327200,1096,0,24,0,0,38.498523999999996,-120.65450220000001,Volcano,California
1523,California,95690,2289,1099,1190,40.7,2289,217,9.480122324,53493,32155.0,267,11.66448231,974,1967,427700,2021,2,0,129,130,38.2285458,-121.60548929999999,Walnut Grove,California
1524,California,95691,36932,17731,19201,34.5,36932,5036,13.63587133,66519,29104.0,1447,3.918011481,13582,1989,291600,25229,1211,218,4125,2761,38.5815697,-121.53129340000001,West Sacramento,California
1525,California,95692,5129,2590,2539,36.1,5129,529,10.31390135,66861,27201.0,250,4.874244492,1815,1987,229200,4208,10,94,219,269,39.0409308,-121.42276100000001,Wheatland,California
1527,California,95694,9828,4920,4908,38.8,9828,869,8.842083842000001,62083,31650.0,496,5.046805047,3577,1982,321500,7555,53,100,96,1668,38.560069899999995,-122.01554909999999,Winters,California
1532,California,95701,782,359,423,51.4,782,145,18.54219949,42411,30845.0,48,6.1381074170000005,466,1985,326200,724,0,6,40,0,39.2176947,-120.79245800000001,Alta,California
1535,California,95713,10296,5168,5128,45.7,10296,1303,12.65540016,61158,31156.0,499,4.846542347,4367,1981,289200,9567,132,191,2,120,39.100751200000005,-120.9532041,Colfax,California
1536,California,95714,368,175,193,51.2,368,24,6.52173913,53583,40288.0,17,4.619565217,351,1959,268400,354,0,0,0,14,39.2105043,-120.8412807,Dutch Flat,California
1537,California,95715,89,51,38,57.8,89,17,19.1011236,31667,20411.0,0,0.0,139,1978,227800,83,0,3,0,3,39.2444916,-120.7005044,Emigrant Gap,California
1544,California,95728,366,238,128,42.4,366,0,0.0,58107,40112.0,19,5.1912568310000005,1241,1982,627900,366,0,0,0,0,39.309121999999995,-120.39542820000001,Soda Springs,California
