,City,tweet_created_at,hashtags,text,screen_name,user_id,user_created_at,user_friends_count,user_statuses_count,tweet_id,compound,neg,pos,neu
5360,Santa Barbara,Tue Dec 19 23:36:54 +0000 2017,[],RT @Fireground: Thomas Fire (Wildfire) https://t.co/kzV8a5bRpi,lambily62,3119518919,Thu Mar 26 19:29:14 +0000 2015,7,1811,943263904058064897,-0.34,0.324,0.0,0.676
5361,Santa Barbara,Tue Dec 19 23:36:47 +0000 2017,[],"RT @_Santa_Barbara: All Quiet on the Thomas Fire’s Western Front: While some evacuation orders and warnings were lifted, winds are expected…",francescarzz,339523827,Thu Jul 21 07:17:54 +0000 2011,353,2567,943263876803477504,-0.296,0.099,0.0,0.901
5362,Santa Barbara,Tue Dec 19 23:36:38 +0000 2017,[],Firefighters begin large firing operation on Thomas Fire https://t.co/Gihf596AFr,Incinotes,798680772,Sun Sep 02 17:18:30 +0000 2012,1954,5386,943263835556806656,-0.5859,0.407,0.0,0.593
5363,Santa Barbara,Tue Dec 19 23:36:38 +0000 2017,[],Firefighters begin large firing operation on Thomas Fire https://t.co/Gihf596AFr,Incinotes,798680772,Sun Sep 02 17:18:30 +0000 2012,1954,5386,943263835556806656,-0.5859,0.407,0.0,0.593
5364,Santa Barbara,Tue Dec 19 23:36:06 +0000 2017,[],RT @IngrahamAngle: Many firefighters say they’ve never encountered a situation like this in their careers. Many are on three-week shifts...…,ChrissyUSA1,809113543278628864,Wed Dec 14 19:11:16 +0000 2016,1556,24164,943263701968199680,-0.2755,0.105,0.0,0.895
5365,Santa Barbara,Tue Dec 19 23:35:37 +0000 2017,[],RT @FOXLA: So awesome! Actor Rob Lowe opened his home and served a hearty dinner to fire crews battling the Thomas Fire in Santa Barbara.…,anthonyyp8,4700095130,Sun Jan 03 02:58:53 +0000 2016,200,4673,943263579632840704,-0.6325,0.316,0.169,0.515
5366,Santa Barbara,Tue Dec 19 23:35:21 +0000 2017,[],Rotterdam Weather - Firefighters got a temporary reprieve from the winds that have turned the Thomas fire into the… https://t.co/9LklWgoqVq,wxrotterdam,99058332,Thu Dec 24 07:48:08 +0000 2009,1,42684,943263515497910273,-0.34,0.124,0.0,0.876
5367,Santa Barbara,Tue Dec 19 23:34:35 +0000 2017,[],RT @IngrahamAngle: Many firefighters say they’ve never encountered a situation like this in their careers. Many are on three-week shifts...…,bossblt,77126366,Fri Sep 25 03:49:42 +0000 2009,4725,11432,943263321788207104,-0.2755,0.105,0.0,0.895
5368,Santa Barbara,Tue Dec 19 23:34:16 +0000 2017,"[{'text': 'ThomasFire', 'indices': [106, 117]}]","RT @nbcsandiego: Dozens of frustrated evacuees have been away from home for days and weeks because of the #ThomasFire, living out of hotels…",rocket_rosie,2907401280,Sat Nov 22 18:53:34 +0000 2014,12207,323350,943263242184478722,-0.5267,0.134,0.0,0.866
5369,Santa Barbara,Tue Dec 19 23:34:00 +0000 2017,[],Groningen Weather - Firefighters got a temporary reprieve from the winds that have turned the Thomas fire into the… https://t.co/N2fY2FpCWm,wxgroningen,99059366,Thu Dec 24 07:56:01 +0000 2009,1,42434,943263175897739264,-0.34,0.124,0.0,0.876
