,State,ZIP_Code,Population,Male,Female,Median Age,Race,Poverty Count,Poverty Rate,Household Income,Per Capita Income,Unemployment Count,Unemployment Rate,Total housing units,Median year structure built,Median Value ($) for Housing Units,White alone race,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Lat,Lng,City,county
49,California,90047,48306.0,21166.0,27140.0,39.0,48306.0,10238.0,21.194054568790627,40913.0,20815.0,3350.0,6.934956320125864,18008.0,1946.0,322300.0,8122.0,31434.0,202.0,368.0,6737.0,33.9519253,-118.3082034,South Los Angeles,Los Angeles
50,California,90048,22722.0,10540.0,12182.0,36.5,22722.0,2021.0,8.894463515535604,83672.0,67985.0,1079.0,4.74870169879412,13126.0,1958.0,1068100.0,18182.0,558.0,35.0,2083.0,743.0,34.0741548,-118.3724915,Central LA,Los Angeles
51,California,90049,35581.0,16076.0,19505.0,41.2,35581.0,2365.0,6.646805879542453,117007.0,96078.0,1194.0,3.355723560327141,18014.0,1968.0,1735800.0,30154.0,464.0,74.0,3228.0,298.0,34.0963058,-118.4980744,Los Angeles,Los Angeles County
52,California,90056,8118.0,3619.0,4499.0,50.1,8118.0,483.0,5.9497413155949745,74959.0,47886.0,529.0,6.516383345651638,3501.0,1958.0,839800.0,1352.0,6056.0,0.0,272.0,127.0,33.9885683,-118.3666482,Los Angeles,Los Angeles County
53,California,90057,48302.0,26132.0,22170.0,33.3,48302.0,17039.0,35.2759720094406,29332.0,14399.0,2611.0,5.405573268187653,17761.0,1961.0,363700.0,12889.0,2193.0,423.0,9598.0,22393.0,34.06170609999999,-118.2789735,Central LA,Los Angeles
54,California,90058,2674.0,1227.0,1447.0,23.5,2674.0,1895.0,70.86761406133134,15224.0,8260.0,145.0,5.422587883320868,879.0,1943.0,313600.0,1131.0,212.0,0.0,84.0,1195.0,34.00637469999999,-118.2234229,Los Angeles,Los Angeles County
55,California,90059,46027.0,22652.0,23375.0,26.3,46027.0,16688.0,36.25697959893106,35061.0,11822.0,3068.0,6.665652769026876,11007.0,1952.0,261000.0,17567.0,14409.0,66.0,327.0,12399.0,33.9287591,-118.2468148,Los Angeles,Los Angeles County
56,California,90061,27203.0,12497.0,14706.0,29.1,27203.0,8926.0,32.812557438517814,36094.0,13927.0,1434.0,5.271477410579715,7667.0,1955.0,283600.0,8812.0,9643.0,163.0,76.0,7948.0,33.9196443,-118.2731269,Los Angeles,Los Angeles County
57,California,90062,33690.0,16025.0,17665.0,34.3,33690.0,8836.0,26.22736717126744,37293.0,15316.0,1640.0,4.867913327396853,10172.0,1939.0,315000.0,6400.0,11166.0,115.0,389.0,14872.0,34.0031792,-118.3082034,South Los Angeles,Los Angeles
58,California,90063,54142.0,27041.0,27101.0,31.2,54142.0,13729.0,25.357393520741752,41267.0,14703.0,3363.0,6.211443980643493,14385.0,1946.0,322600.0,22108.0,283.0,166.0,765.0,30052.0,34.0440239,-118.1854042,Los Angeles,Los Angeles County
